id,province,zone,candidate_no,title,first_name,last_name,party,score
1,กระบี่,1,10,นาย,สาคร,เกี่ยวข้อง,ประชาธิปัตย์,58895
2,กระบี่,1,1,นาย,ชัยณรงค์,ช่างเรือ,เพื่อไทย,16420
3,กระบี่,1,12,นาย,ชูวงศ์,มณีกุล,รักษ์สันติ,752
4,กระบี่,1,19,นาย,สุคนธ์,ขาวขำ,เครือข่ายชาวนาแห่งประเทศไทย,185
5,กระบี่,2,10,นาย,สุชีน,เอ่งฉ้วน,ประชาธิปัตย์,48968
6,กระบี่,2,26,นาย,อธิคม,ดำดี,มาตุภูมิ,8765
7,กระบี่,2,1,นาย,อมต,ภูมิภมร,เพื่อไทย,8332
8,กระบี่,2,16,นาย,ภูเบศ,สุวรรณเนาว์,ภูมิใจไทย,2185
9,กระบี่,2,12,นางสาว,วิภาวรรณ,ทองเมือง,รักษ์สันติ,1122
10,กระบี่,2,19,นาย,โกมล,อุดมรัตน์,เครือข่ายชาวนาแห่งประเทศไทย,125
11,กระบี่,3,10,นาย,พิเชษฐ,พันธุ์วิชาติกุล,ประชาธิปัตย์,40705
12,กระบี่,3,1,นาย,ทศภณ,หนักแน่น,เพื่อไทย,12554
13,กระบี่,3,16,นาย,ชำนาญ,มากผล,ภูมิใจไทย,7498
14,กระบี่,3,12,นาย,เสรี,จันแดง,รักษ์สันติ,626
15,กระบี่,3,19,นาย,อภินันท์,เป๋าเงิน,เครือข่ายชาวนาแห่งประเทศไทย,352
16,กระบี่,3,2,นาย,ไพบูลย์,ทองทิพย์,ชาติพัฒนาเพื่อแผ่นดิน,248
17,กรุงเทพมหานคร,1,10,นาง,เจิมมาศ,จึงเลิศศิริ,ประชาธิปัตย์,40328
18,กรุงเทพมหานคร,1,1,พลตำรวจตรี,รุ่งโรจน์,เภกะนันทน์,เพื่อไทย,20230
19,กรุงเทพมหานคร,1,12,นาย,ศิริ,หวังบุญเกิด,รักษ์สันติ,2193
20,กรุงเทพมหานคร,1,2,นาย,ประวิทย์,ติยะปัญจนิตย์,ชาติพัฒนาเพื่อแผ่นดิน,338
21,กรุงเทพมหานคร,1,14,นาย,บุญล้อม,อิงคเวทย์,กิจสังคม,137
22,กรุงเทพมหานคร,1,33,นาง,จุลดา,รุ่งจิรโรจน์,ประชาสันติ,88
23,กรุงเทพมหานคร,1,18,นาย,ข้าพุทธ,ขาวดารา,เพื่อฟ้าดิน,42
24,กรุงเทพมหานคร,1,34,นาย,ชัยธนพล,ศรีจิวังษา,ความหวังใหม่,28
25,กรุงเทพมหานคร,1,39,นาย,วรา,บัณฑุนาค,เพื่อนเกษตรไทย,21
26,กรุงเทพมหานคร,2,10,นางสาว,อรอนงค์,กาญจนชูศักดิ์,ประชาธิปัตย์,52178
27,กรุงเทพมหานคร,2,1,หม่อมหลวง,ณัฎฐพล,เทวกุล,เพื่อไทย,26956
28,กรุงเทพมหานคร,2,12,นาง,อมริสา,ตัณสถิตย์,รักษ์สันติ,2413
29,กรุงเทพมหานคร,2,14,นาย,วุฒิชัย,พฤกธารา,กิจสังคม,335
30,กรุงเทพมหานคร,2,2,นาย,มนตรี,ฐิรโฆไท,ชาติพัฒนาเพื่อแผ่นดิน,314
31,กรุงเทพมหานคร,2,33,นาย,ธรรมม์ชัย,รุ่งจริโรจน์,ประชาสันติ,267
32,กรุงเทพมหานคร,2,20,นาย,สัณฑดล,มิตรานนท์,การเมืองใหม่,67
33,กรุงเทพมหานคร,2,18,นาย,หนึ่งพุทธ,วิมุตตินันท์,เพื่อฟ้าดิน,32
34,กรุงเทพมหานคร,2,39,นาย,พัท,บุญยศ,เพื่อนเกษตรไทย,25
35,กรุงเทพมหานคร,2,34,นาย,จีราวัฒน์,ไชยเศรษฐ์,ความหวังใหม่,22
36,กรุงเทพมหานคร,3,10,หม่อมหลวง,อภิมงคล,โสณกุล,ประชาธิปัตย์,47982
37,กรุงเทพมหานคร,3,1,นาย,พงษ์พิสุทธิ์,จินตโสภณ,เพื่อไทย,29976
38,กรุงเทพมหานคร,3,12,นาย,จรูญเกียรติ,ภัทรมนตรีสิน,รักษ์สันติ,1726
