id,province,zone,candidate_no,title,first_name,last_name,party,score
1,กระบี่,1,7,นาย,อาคม,เอ่งฉ้วน,ประชาธิปัตย์,124739
2,กระบี่,1,8,นาย,สาคร,เกี่ยวข้อง,ประชาธิปัตย์,124600
3,กระบี่,1,9,นาย,พิเชษฐ,พันธุ์วิชาติกุล,ประชาธิปัตย์,120612
4,กระบี่,1,18,นาย,สวัสดิ์,พยายาม,พลังประชาชน,24453
5,กระบี่,1,13,นาย,วิทยากร,ลูกหยี,เพื่อแผ่นดิน,23220
6,กระบี่,1,5,นาย,ม่านัด,หลานหาด,รวมใจไทยชาติพัฒนา,22374
7,กระบี่,1,4,นางสาว,รุ่งนภา,ใยทอง,รวมใจไทยชาติพัฒนา,20938
8,กระบี่,1,16,นาย,สฤษฎ์พงษ์,เกี่ยวข้อง,พลังประชาชน,19388
9,กระบี่,1,17,นาย,อรรถพล,หิรัญพงศ์,พลังประชาชน,14141
10,กระบี่,1,6,นาย,สนทยา,เกื้อบุตร,รวมใจไทยชาติพัฒนา,10724
11,กระบี่,1,1,นาย,วิษณุ,มณีมัย,เครือข่ายชาวนาแห่งประเทศไทย,5789
12,กระบี่,1,3,นาย,จริยวัฒน์,ปานแก้ว,เครือข่ายชาวนาแห่งประเทศไทย,5623
13,กระบี่,1,15,นาย,วรเชษ,บุญประกอบ,เพื่อแผ่นดิน,5532
14,กระบี่,1,10,ดาบตำรวจ,วิมล,ศรีสวัสดิ์,ชาติไทย,5260
15,กระบี่,1,2,นาย,สมเกียรติ์,ชำนาญกิจ,เครือข่ายชาวนาแห่งประเทศไทย,4739
16,กระบี่,1,12,นาย,นันทพร,คาวิจิตร,ชาติไทย,4512
17,กระบี่,1,14,นาย,อริษฎ์,จิรเดชตระกูล,เพื่อแผ่นดิน,3677
18,กระบี่,1,11,ว่าที่พันตรี,เจ๊ะห้าสัน,ยะลา,ชาติไทย,3136
19,กระบี่,1,19,นาง,ศิริรัตน์,สังข์ขำ,ไทยร่ำรวย,2487
20,กระบี่,1,21,นาย,อดุลย์,บุตรหลำ,ไทยร่ำรวย,1573
21,กระบี่,1,20,นาย,รุจ,เถนว้อง,ไทยร่ำรวย,1204
22,กระบี่,1,23,นาย,จาตุรงค์,พูลเกิด,พลังแผ่นดิน,829
23,กระบี่,1,22,นาย,สมใจ,คงแจ่ม,พลังแผ่นดิน,674
24,กระบี่,1,24,นาย,สมชาย,ไกรณรา,พลังแผ่นดิน,511
25,กรุงเทพมหานคร,1,4,หม่อมหลวง,อภิมงคล,โสณกุล,ประชาธิปัตย์,116707
26,กรุงเทพมหานคร,1,5,นางสาว,อรอนงค์,กาญจนชูศักดิ์,ประชาธิปัตย์,112270
27,กรุงเทพมหานคร,1,6,นาง,เจิมมาศ,จึงเลิศศิริ,ประชาธิปัตย์,109974
28,กรุงเทพมหานคร,1,13,นางสาว,ลีลาวดี,วัชโรบล,พลังประชาชน,61324
